Configuration: {'START': '2001-01-01', 'END': '2024-09-01', 'N_STOCK': 50, 'LEN_DATA': 5000, 'TRAIN_LEN': 60, 'PRED_LEN': 20, 'TRAIN_RATIO': 0.7, 'RESULT_DIR': 'result/GRU_False_equal_risk_parity_60_20', 'MODELS': ['GRU', 'TCN', 'TRANSFORMER'], 'MULTIMODAL_OPTIONS': [False], 'LOSS_FUNCTIONS': ['max_sharpe', 'equal_risk_parity', 'mean_variance'], 'TRAIN_LEN_OPTIONS': [60], 'PRED_LEN_OPTIONS': [20], 'SEED': 42, 'BATCH': 32, 'EPOCHS': 500, 'EARLY_STOP': 20, 'LR': 0.005, 'MOMENTUM': 0.9, 'USE_CUDA': True, 'LB': 0, 'UB': 0.2, 'N_FEAT': 50, 'BETA': 0.2, 'LOSS_FUNCTION': 'equal_risk_parity', 'TCN': {'n_output': 50, 'kernel_size': 4, 'n_dropout': 0.1, 'n_timestep': 60, 'hidden_size': 64, 'level': 3}, 'GRU': {'n_layers': 1, 'hidden_dim': 128, 'dropout_p': 0.3, 'bidirectional': False}, 'TRANSFORMER': {'n_timestep': 60, 'n_layer': 6, 'n_head': 5, 'n_dropout': 0.1, 'n_output': 50}, 'MODEL': 'GRU', 'MULTIMODAL': False}
Model: gru, Multimodal: False, Loss Function: equal_risk_parity
Loading and processing data...
Epoch 130/500, Training Loss: 0.005604
Epoch 130/500, Validation Loss: 0.006450
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_130_loss_0.0065.pth
Epoch 131/500, Training Loss: 0.005593
Epoch 131/500, Validation Loss: 0.006443
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_131_loss_0.0064.pth
Epoch 132/500, Training Loss: 0.005587
Epoch 132/500, Validation Loss: 0.006436
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_132_loss_0.0064.pth
Epoch 133/500, Training Loss: 0.005583
Epoch 133/500, Validation Loss: 0.006430
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_133_loss_0.0064.pth
Epoch 134/500, Training Loss: 0.005575
Epoch 134/500, Validation Loss: 0.006423
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_134_loss_0.0064.pth
Epoch 135/500, Training Loss: 0.005567
Epoch 135/500, Validation Loss: 0.006416
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_135_loss_0.0064.pth
Epoch 136/500, Training Loss: 0.005559
Epoch 136/500, Validation Loss: 0.006410
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_136_loss_0.0064.pth
Epoch 137/500, Training Loss: 0.005548
Epoch 137/500, Validation Loss: 0.006403
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_137_loss_0.0064.pth
Epoch 138/500, Training Loss: 0.005543
Epoch 138/500, Validation Loss: 0.006396
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_138_loss_0.0064.pth
Epoch 139/500, Training Loss: 0.005536
Epoch 139/500, Validation Loss: 0.006390
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_139_loss_0.0064.pth
Epoch 140/500, Training Loss: 0.005526
Epoch 140/500, Validation Loss: 0.006383
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_140_loss_0.0064.pth
Epoch 141/500, Training Loss: 0.005523
Epoch 141/500, Validation Loss: 0.006376
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_141_loss_0.0064.pth
Epoch 142/500, Training Loss: 0.005516
Epoch 142/500, Validation Loss: 0.006370
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_142_loss_0.0064.pth
Epoch 143/500, Training Loss: 0.005508
Epoch 143/500, Validation Loss: 0.006363
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_143_loss_0.0064.pth
Epoch 144/500, Training Loss: 0.005500
Epoch 144/500, Validation Loss: 0.006356
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_144_loss_0.0064.pth
Epoch 145/500, Training Loss: 0.005490
Epoch 145/500, Validation Loss: 0.006350
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_145_loss_0.0063.pth
Epoch 146/500, Training Loss: 0.005484
Epoch 146/500, Validation Loss: 0.006343
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_146_loss_0.0063.pth
Epoch 147/500, Training Loss: 0.005479
Epoch 147/500, Validation Loss: 0.006336
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_147_loss_0.0063.pth
Epoch 148/500, Training Loss: 0.005473
Epoch 148/500, Validation Loss: 0.006330
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_148_loss_0.0063.pth
Epoch 149/500, Training Loss: 0.005465
Epoch 149/500, Validation Loss: 0.006323
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_149_loss_0.0063.pth
Epoch 150/500, Training Loss: 0.005456
Epoch 150/500, Validation Loss: 0.006317
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_150_loss_0.0063.pth
Epoch 151/500, Training Loss: 0.005451
Epoch 151/500, Validation Loss: 0.006310
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_151_loss_0.0063.pth
Epoch 152/500, Training Loss: 0.005443
Epoch 152/500, Validation Loss: 0.006304
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_152_loss_0.0063.pth
Epoch 153/500, Training Loss: 0.005434
Epoch 153/500, Validation Loss: 0.006297
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_153_loss_0.0063.pth
Epoch 154/500, Training Loss: 0.005428
Epoch 154/500, Validation Loss: 0.006291
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_154_loss_0.0063.pth
Epoch 155/500, Training Loss: 0.005421
Epoch 155/500, Validation Loss: 0.006284
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_155_loss_0.0063.pth
Epoch 156/500, Training Loss: 0.005411
Epoch 156/500, Validation Loss: 0.006278
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_156_loss_0.0063.pth
Epoch 157/500, Training Loss: 0.005406
Epoch 157/500, Validation Loss: 0.006271
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_157_loss_0.0063.pth
Epoch 158/500, Training Loss: 0.005401
Epoch 158/500, Validation Loss: 0.006265
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_158_loss_0.0063.pth
Epoch 159/500, Training Loss: 0.005393
Epoch 159/500, Validation Loss: 0.006258
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_159_loss_0.0063.pth
Epoch 160/500, Training Loss: 0.005382
Epoch 160/500, Validation Loss: 0.006252
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_160_loss_0.0063.pth
Epoch 161/500, Training Loss: 0.005386
Epoch 161/500, Validation Loss: 0.006245
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_161_loss_0.0062.pth
Epoch 162/500, Training Loss: 0.005368
Epoch 162/500, Validation Loss: 0.006239
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_162_loss_0.0062.pth
Epoch 163/500, Training Loss: 0.005366
Epoch 163/500, Validation Loss: 0.006232
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_163_loss_0.0062.pth
Epoch 164/500, Training Loss: 0.005355
Epoch 164/500, Validation Loss: 0.006226
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_164_loss_0.0062.pth
Epoch 165/500, Training Loss: 0.005351
Epoch 165/500, Validation Loss: 0.006220
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_165_loss_0.0062.pth
Epoch 166/500, Training Loss: 0.005345
Epoch 166/500, Validation Loss: 0.006213
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_166_loss_0.0062.pth
Epoch 167/500, Training Loss: 0.005336
Epoch 167/500, Validation Loss: 0.006207
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_167_loss_0.0062.pth
Epoch 168/500, Training Loss: 0.005334
Epoch 168/500, Validation Loss: 0.006200
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_168_loss_0.0062.pth
Epoch 169/500, Training Loss: 0.005316
Epoch 169/500, Validation Loss: 0.006194
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_169_loss_0.0062.pth
Epoch 170/500, Training Loss: 0.005317
Epoch 170/500, Validation Loss: 0.006188
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_170_loss_0.0062.pth
Epoch 171/500, Training Loss: 0.005310
Epoch 171/500, Validation Loss: 0.006181
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_171_loss_0.0062.pth
Epoch 172/500, Training Loss: 0.005301
Epoch 172/500, Validation Loss: 0.006175
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_172_loss_0.0062.pth
Epoch 173/500, Training Loss: 0.005298
Epoch 173/500, Validation Loss: 0.006169
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_173_loss_0.0062.pth
Epoch 174/500, Training Loss: 0.005291
Epoch 174/500, Validation Loss: 0.006162
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_174_loss_0.0062.pth
Epoch 175/500, Training Loss: 0.005282
Epoch 175/500, Validation Loss: 0.006156
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_175_loss_0.0062.pth
Epoch 176/500, Training Loss: 0.005273
Epoch 176/500, Validation Loss: 0.006150
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_176_loss_0.0061.pth
Epoch 177/500, Training Loss: 0.005270
Epoch 177/500, Validation Loss: 0.006144
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_177_loss_0.0061.pth
Epoch 178/500, Training Loss: 0.005265
Epoch 178/500, Validation Loss: 0.006137
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_178_loss_0.0061.pth
Epoch 179/500, Training Loss: 0.005257
Epoch 179/500, Validation Loss: 0.006131
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_179_loss_0.0061.pth
Epoch 180/500, Training Loss: 0.005250
Epoch 180/500, Validation Loss: 0.006125
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_180_loss_0.0061.pth
Epoch 181/500, Training Loss: 0.005239
Epoch 181/500, Validation Loss: 0.006119
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_181_loss_0.0061.pth
Epoch 182/500, Training Loss: 0.005236
Epoch 182/500, Validation Loss: 0.006113
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_182_loss_0.0061.pth
Epoch 183/500, Training Loss: 0.005234
Epoch 183/500, Validation Loss: 0.006107
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_183_loss_0.0061.pth
Epoch 184/500, Training Loss: 0.005225
Epoch 184/500, Validation Loss: 0.006100
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_184_loss_0.0061.pth
Epoch 185/500, Training Loss: 0.005216
Epoch 185/500, Validation Loss: 0.006094
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_185_loss_0.0061.pth
Epoch 186/500, Training Loss: 0.005208
Epoch 186/500, Validation Loss: 0.006088
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_186_loss_0.0061.pth
Epoch 187/500, Training Loss: 0.005203
Epoch 187/500, Validation Loss: 0.006082
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_187_loss_0.0061.pth
Epoch 188/500, Training Loss: 0.005201
Epoch 188/500, Validation Loss: 0.006076
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_188_loss_0.0061.pth
Epoch 189/500, Training Loss: 0.005193
Epoch 189/500, Validation Loss: 0.006070
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_189_loss_0.0061.pth
Epoch 190/500, Training Loss: 0.005183
Epoch 190/500, Validation Loss: 0.006064
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_190_loss_0.0061.pth
Epoch 191/500, Training Loss: 0.005177
Epoch 191/500, Validation Loss: 0.006058
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_191_loss_0.0061.pth
Epoch 192/500, Training Loss: 0.005170
Epoch 192/500, Validation Loss: 0.006052
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_192_loss_0.0061.pth
Epoch 193/500, Training Loss: 0.005167
Epoch 193/500, Validation Loss: 0.006046
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_193_loss_0.0060.pth
Epoch 194/500, Training Loss: 0.005158
Epoch 194/500, Validation Loss: 0.006040
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_194_loss_0.0060.pth
Epoch 195/500, Training Loss: 0.005153
Epoch 195/500, Validation Loss: 0.006034
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_195_loss_0.0060.pth
Epoch 196/500, Training Loss: 0.005146
Epoch 196/500, Validation Loss: 0.006028
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_196_loss_0.0060.pth
Epoch 197/500, Training Loss: 0.005139
Epoch 197/500, Validation Loss: 0.006023
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_197_loss_0.0060.pth
Epoch 198/500, Training Loss: 0.005133
Epoch 198/500, Validation Loss: 0.006017
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_198_loss_0.0060.pth
Epoch 199/500, Training Loss: 0.005127
Epoch 199/500, Validation Loss: 0.006011
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_199_loss_0.0060.pth
Epoch 200/500, Training Loss: 0.005120
Epoch 200/500, Validation Loss: 0.006005
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_200_loss_0.0060.pth
Epoch 201/500, Training Loss: 0.005115
Epoch 201/500, Validation Loss: 0.006000
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_201_loss_0.0060.pth
Epoch 202/500, Training Loss: 0.005109
Epoch 202/500, Validation Loss: 0.005994
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_202_loss_0.0060.pth
Epoch 203/500, Training Loss: 0.005105
Epoch 203/500, Validation Loss: 0.005988
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_203_loss_0.0060.pth
Epoch 204/500, Training Loss: 0.005095
Epoch 204/500, Validation Loss: 0.005983
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_204_loss_0.0060.pth
Epoch 205/500, Training Loss: 0.005090
Epoch 205/500, Validation Loss: 0.005977
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_205_loss_0.0060.pth
Epoch 206/500, Training Loss: 0.005081
Epoch 206/500, Validation Loss: 0.005972
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_206_loss_0.0060.pth
Epoch 207/500, Training Loss: 0.005077
Epoch 207/500, Validation Loss: 0.005966
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_207_loss_0.0060.pth
Epoch 208/500, Training Loss: 0.005070
Epoch 208/500, Validation Loss: 0.005960
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_208_loss_0.0060.pth
Epoch 209/500, Training Loss: 0.005065
Epoch 209/500, Validation Loss: 0.005955
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_209_loss_0.0060.pth
Epoch 210/500, Training Loss: 0.005057
Epoch 210/500, Validation Loss: 0.005950
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_210_loss_0.0059.pth
Epoch 211/500, Training Loss: 0.005055
Epoch 211/500, Validation Loss: 0.005944
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_211_loss_0.0059.pth
Epoch 212/500, Training Loss: 0.005049
Epoch 212/500, Validation Loss: 0.005939
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_212_loss_0.0059.pth
Epoch 213/500, Training Loss: 0.005044
Epoch 213/500, Validation Loss: 0.005934
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_213_loss_0.0059.pth
Epoch 214/500, Training Loss: 0.005037
Epoch 214/500, Validation Loss: 0.005928
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_214_loss_0.0059.pth
Epoch 215/500, Training Loss: 0.005038
Epoch 215/500, Validation Loss: 0.005923
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_215_loss_0.0059.pth
Epoch 216/500, Training Loss: 0.005032
Epoch 216/500, Validation Loss: 0.005918
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_216_loss_0.0059.pth
Epoch 217/500, Training Loss: 0.005022
Epoch 217/500, Validation Loss: 0.005913
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_217_loss_0.0059.pth
Epoch 218/500, Training Loss: 0.005013
Epoch 218/500, Validation Loss: 0.005907
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_218_loss_0.0059.pth
Epoch 219/500, Training Loss: 0.005012
Epoch 219/500, Validation Loss: 0.005902
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_219_loss_0.0059.pth
Epoch 220/500, Training Loss: 0.005006
Epoch 220/500, Validation Loss: 0.005897
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_220_loss_0.0059.pth
Epoch 221/500, Training Loss: 0.004999
Epoch 221/500, Validation Loss: 0.005892
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_221_loss_0.0059.pth
Epoch 222/500, Training Loss: 0.005002
Epoch 222/500, Validation Loss: 0.005887
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_222_loss_0.0059.pth
Epoch 223/500, Training Loss: 0.004987
Epoch 223/500, Validation Loss: 0.005883
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_223_loss_0.0059.pth
Epoch 224/500, Training Loss: 0.004979
Epoch 224/500, Validation Loss: 0.005878
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_224_loss_0.0059.pth
Epoch 225/500, Training Loss: 0.004979
Epoch 225/500, Validation Loss: 0.005873
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_225_loss_0.0059.pth
Epoch 226/500, Training Loss: 0.004970
Epoch 226/500, Validation Loss: 0.005868
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_226_loss_0.0059.pth
Epoch 227/500, Training Loss: 0.004974
Epoch 227/500, Validation Loss: 0.005864
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_227_loss_0.0059.pth
Epoch 228/500, Training Loss: 0.004967
Epoch 228/500, Validation Loss: 0.005859
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_228_loss_0.0059.pth
Epoch 229/500, Training Loss: 0.004960
Epoch 229/500, Validation Loss: 0.005854
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_229_loss_0.0059.pth
Epoch 230/500, Training Loss: 0.004954
Epoch 230/500, Validation Loss: 0.005850
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_230_loss_0.0058.pth
Epoch 231/500, Training Loss: 0.004948
Epoch 231/500, Validation Loss: 0.005845
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_231_loss_0.0058.pth
Epoch 232/500, Training Loss: 0.004943
Epoch 232/500, Validation Loss: 0.005841
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_232_loss_0.0058.pth
Epoch 233/500, Training Loss: 0.004941
Epoch 233/500, Validation Loss: 0.005836
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_233_loss_0.0058.pth
Epoch 234/500, Training Loss: 0.004931
Epoch 234/500, Validation Loss: 0.005832
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_234_loss_0.0058.pth
Epoch 235/500, Training Loss: 0.004929
Epoch 235/500, Validation Loss: 0.005828
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_235_loss_0.0058.pth
Epoch 236/500, Training Loss: 0.004921
Epoch 236/500, Validation Loss: 0.005824
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_236_loss_0.0058.pth
Epoch 237/500, Training Loss: 0.004912
Epoch 237/500, Validation Loss: 0.005819
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_237_loss_0.0058.pth
Epoch 238/500, Training Loss: 0.004912
Epoch 238/500, Validation Loss: 0.005815
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_238_loss_0.0058.pth
Epoch 239/500, Training Loss: 0.004902
Epoch 239/500, Validation Loss: 0.005811
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_239_loss_0.0058.pth
Epoch 240/500, Training Loss: 0.004907
Epoch 240/500, Validation Loss: 0.005807
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_240_loss_0.0058.pth
Epoch 241/500, Training Loss: 0.004903
Epoch 241/500, Validation Loss: 0.005803
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_241_loss_0.0058.pth
Epoch 242/500, Training Loss: 0.004897
Epoch 242/500, Validation Loss: 0.005799
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_242_loss_0.0058.pth
Epoch 243/500, Training Loss: 0.004889
Epoch 243/500, Validation Loss: 0.005795
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_243_loss_0.0058.pth
Epoch 244/500, Training Loss: 0.004883
Epoch 244/500, Validation Loss: 0.005792
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_244_loss_0.0058.pth
Epoch 245/500, Training Loss: 0.004888
Epoch 245/500, Validation Loss: 0.005788
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_245_loss_0.0058.pth
Epoch 246/500, Training Loss: 0.004882
Epoch 246/500, Validation Loss: 0.005784
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_246_loss_0.0058.pth
Epoch 247/500, Training Loss: 0.004876
Epoch 247/500, Validation Loss: 0.005780
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_247_loss_0.0058.pth
Epoch 248/500, Training Loss: 0.004870
Epoch 248/500, Validation Loss: 0.005777
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_248_loss_0.0058.pth
Epoch 249/500, Training Loss: 0.004869
Epoch 249/500, Validation Loss: 0.005773
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_249_loss_0.0058.pth
Epoch 250/500, Training Loss: 0.004868
Epoch 250/500, Validation Loss: 0.005770
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_250_loss_0.0058.pth
Epoch 251/500, Training Loss: 0.004863
Epoch 251/500, Validation Loss: 0.005767
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_251_loss_0.0058.pth
Epoch 252/500, Training Loss: 0.004851
Epoch 252/500, Validation Loss: 0.005763
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_252_loss_0.0058.pth
Epoch 253/500, Training Loss: 0.004853
Epoch 253/500, Validation Loss: 0.005760
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_253_loss_0.0058.pth
Epoch 254/500, Training Loss: 0.004851
Epoch 254/500, Validation Loss: 0.005757
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_254_loss_0.0058.pth
Epoch 255/500, Training Loss: 0.004845
Epoch 255/500, Validation Loss: 0.005754
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_255_loss_0.0058.pth
Epoch 256/500, Training Loss: 0.004838
Epoch 256/500, Validation Loss: 0.005751
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_256_loss_0.0058.pth
Epoch 257/500, Training Loss: 0.004834
Epoch 257/500, Validation Loss: 0.005748
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_257_loss_0.0057.pth
Epoch 258/500, Training Loss: 0.004837
Epoch 258/500, Validation Loss: 0.005745
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_258_loss_0.0057.pth
Epoch 259/500, Training Loss: 0.004832
Epoch 259/500, Validation Loss: 0.005742
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_259_loss_0.0057.pth
Epoch 260/500, Training Loss: 0.004833
Epoch 260/500, Validation Loss: 0.005739
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_260_loss_0.0057.pth
Epoch 261/500, Training Loss: 0.004825
Epoch 261/500, Validation Loss: 0.005736
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_261_loss_0.0057.pth
Epoch 262/500, Training Loss: 0.004819
Epoch 262/500, Validation Loss: 0.005734
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_262_loss_0.0057.pth
Epoch 263/500, Training Loss: 0.004811
Epoch 263/500, Validation Loss: 0.005731
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_263_loss_0.0057.pth
Epoch 264/500, Training Loss: 0.004814
Epoch 264/500, Validation Loss: 0.005728
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_264_loss_0.0057.pth
Epoch 265/500, Training Loss: 0.004806
Epoch 265/500, Validation Loss: 0.005726
Best model saved to result/GRU_False_equal_risk_parity_60_20/models/gru_False/best_model_epoch_265_loss_0.0057.pth
